ID,Number,From,To,WaitToBoard,TotalTime
5,1,5,6,14,25
6,4,5,6,10,21
0,3,6,5,37,49
1,6,6,3,37,70
9,4,4,1,40,67
3,4,1,2,82,94
8,2,1,3,73,96
2,1,1,5,86,125
4,1,1,5,79,118
7,3,3,5,98,113
10,1,5,6,3,13
11,3,6,1,13,43
13,4,1,6,40,78
12,1,5,6,66,78
14,6,5,6,63,75
16,5,4,2,14,30
15,3,2,6,32,57
17,2,5,1,9,39
22,3,3,1,14,29
23,2,1,3,31,57
19,6,1,4,38,75
18,3,3,5,68,89
20,4,1,6,35,93
24,6,1,2,117,129
21,4,2,3,138,149
25,1,1,5,114,155
28,6,1,2,20,33
27,6,1,3,20,47
26,3,2,4,39,62
29,4,2,6,31,71
30,6,4,6,53,69
34,6,4,1,7,40
39,4,3,1,9,31
38,5,2,1,22,33
40,3,1,6,36,78
33,6,3,6,63,90
31,2,5,6,83,94
32,3,5,6,79,90
35,4,6,1,90,123
37,5,6,1,88,121
41,2,6,1,79,112
44,5,5,6,20,31
42,4,6,3,37,59
43,3,6,1,36,74
45,3,1,6,71,101
49,3,2,1,22,32
47,4,1,2,35,46
46,2,2,5,48,68
50,1,1,6,31,75
48,2,5,6,67,77
52,5,4,1,12,38
55,2,3,1,15,30
51,6,1,2,43,56
57,5,1,5,28,69
56,2,2,5,45,71
53,5,4,5,70,81
54,2,5,6,81,91
61,4,3,1,10,32
65,5,2,1,13,24
58,6,1,6,44,82
63,5,1,6,34,72
66,2,3,6,42,62
60,4,6,2,80,112
59,1,6,1,84,127
62,2,6,1,78,121
70,3,1,2,0,11
68,5,1,4,3,37
69,2,3,5,25,47
67,3,1,6,3,58
74,2,3,6,12,44
75,5,6,5,43,55
76,4,4,3,62,74
72,2,6,2,51,97
71,2,4,2,74,97
73,1,4,1,73,107
78,1,1,4,0,23
77,4,1,6,3,41
79,5,1,6,0,38
81,5,4,2,47,63
80,3,1,2,78,88
82,4,1,4,9,30
83,1,6,2,44,81
85,3,4,2,60,76
84,4,5,1,50,90
86,2,4,1,58,87
87,5,2,1,73,84
88,3,1,2,3,15
91,4,1,2,2,14
90,2,1,4,2,37
89,6,3,5,27,48
92,2,4,1,56,76
93,4,3,6,14,35
95,3,6,5,29,39
96,5,1,2,64,77
94,6,1,4,68,97
99,1,1,2,111,128
97,6,1,4,114,146
98,6,1,5,114,157
100,5,1,2,176,187
103,2,6,1,27,57
101,2,1,2,61,71
102,1,1,3,60,80
104,4,1,2,14,31
106,3,1,3,9,37
105,2,1,4,13,51
107,5,1,5,8,58
111,6,4,6,40,63
110,3,5,6,54,64
108,6,6,2,73,99
109,4,1,2,108,119
116,4,1,2,0,13
113,3,1,4,6,36
115,4,1,5,3,45
112,4,1,6,9,62
114,5,4,6,37,59
121,4,3,1,12,34
