ID,Number,From,To,WaitToBoard,TotalTime
0,1,1,6,3,33
1,1,2,5,24,44
2,1,3,1,14,29
3,1,4,2,19,34
4,1,1,4,9,29
5,1,2,3,14,24
8,1,2,1,7,17
6,1,1,4,20,45
7,1,2,4,28,43
13,1,4,3,3,13
9,1,2,5,23,48
10,1,3,6,33,58
12,1,5,2,69,89
11,1,6,1,59,99
16,1,1,2,3,13
15,1,3,5,23,38
14,1,5,6,39,49
17,1,5,3,59,79
18,1,4,1,69,94
19,1,1,3,3,18
20,1,1,4,14,34
21,1,6,4,49,64
22,1,5,1,9,34
23,1,2,3,44,54
25,1,1,3,14,29
24,1,5,3,44,59
26,1,3,5,3,18
27,1,1,5,43,68
28,1,5,2,3,23
29,1,1,4,33,58
30,1,2,4,43,58
31,1,4,6,3,18
32,1,5,2,28,53
33,1,3,1,43,63
34,1,1,4,3,23
36,1,4,6,3,18
35,1,4,1,33,53
